к1906;Агапов 1 - Куусинена 2;Москва, м.Полежаевская, ул. Кусинена, д.2;55.778254;37.517626
к669;Алекста-Основная;Домодедово,ул. Рабочая 57/1;55.423402;37.767537
к670;Алекста-т10;Домодедово, ул. Гагарина д.50;55.450241;37.74278
к664;Алекста-Точка 1;Домодедово,мкр Белые столбы,ул Кирова,д 1;55.33384;37.846993
к665;Алекста-Точка 2;г.Домодедово,агрогород Заря;55.272939;37.8335
к667;Алекста-Точка 3;Домодедово,Санаторий «Подмосковье»;55.377163;37.763656
к668;Алекста-Точка 4;Домодедово,мкр Авиационный, ул Чкалова д2;55.416346;37.838127
к663;Алекста-Точка 5;Домодедово, Ул Каширское шоссе д 97 точка 5;55.424715;37.774113
к1079;Алекста-Точка 6;Домодедово,мкр Авиационный, ул Туполева д9;55.414261;37.834498
Р1;Алтаев;г.Волоколамск;56.030884;35.956569
Р1;Алтаев;г.Волоколамск;56.028601;35.949527
Р1;Алтаев;г.Волоколамск;56.028224;35.950703
Р1;Алтаев;г.Волоколамск;56.023948;35.958501
Р1;Алтаев;г.Волоколамск;56.025241;35.958582
Р1;Алтаев;г.Волоколамск;56.030387;35.956569
Р1;Алтаев;г.Волоколамск;56.030547;35.960333
Р1;Алтаев;г.Волоколамск;56.018972;35.939259
к92;Алхазов/Енисейская 16/21;ул.Енисейская 16/21;55.864414;37.662704
27П;Аносов Балашиха Дзержинского напротив д.38*;г.Балашиха мкр.Дзержинского напротив д.38;55.776705;37.900407
401М;Аносов ст. Кучино;МОг. Железнодорожный  ст. Кучино;55.7521;37.955258
396М;Аносов(16) Керамика-1;МО, г. Железнодорожный,Керамика-1у проходной керамкомбината ул Керамическая дом 1;55.744835;37.971616
398М;Аносов(18) Кучино-1*;МО, г. Железнодорожный,Кучино-1у подземного перехода ж/д ст. Кучино (ул Центральная);55.7521;37.955258
399М;Аносов(19) Кучино-2*;МО, г. Железнодорожный,Кучино-2 ул Центральная дом 35;55.750383;37.954503
400М;Аносов(20) Салтыковка*;МО, г. Железнодорожный,Салтыковкау входа на платформу ст Салтыковская в сторону области;55.757642;37.923278
30П;Аносов. г.Балашиха -2 ул.Заречная 18А;г.Балашиха -2 ул.Заречная 18А;55.824253;37.967511
408м;Аносов/ Главная;МО, г. Железнодорожный,ул Главная;55.746172;37.991802
402М;Аносов/ Заря3;МО, г Балашиха Заря3;55.753595;38.085496
411М;Аносов/ Заря4;МО, гБалашихаЗаря4;55.758797;38.079405
